Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2021-08-13,Brentford,Arsenal,2.0,0.0,H,74,74,75,74,80,82,80,77,-6,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,61,16,0.4736842105263157,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-62,-17,-0.4736842105263157,,0.0
2021-08-14,Man United,Leeds,5.0,1.0,H,83,85,83,81,76,77,78,75,7,0,0,74,29,0.5526315789473685,0.0,0.0,0.0,,0,0,59,8,0.4736842105263157,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,15,21,0.07894736842105277,,0.0
2021-08-14,Burnley,Brighton,1.0,2.0,A,76,77,75,76,76,77,75,76,0,0,0,39,-22,0.2631578947368421,0.0,0.0,0.0,,0,0,41,-6,0.2368421052631578,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-2,-16,0.026315789473684292,,0.0
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H,84,83,86,83,76,76,76,75,8,0,0,67,22,0.5,0.0,0.0,0.0,,0,0,44,-25,0.3157894736842105,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,23,47,0.1842105263157895,,0.0
2021-08-14,Everton,Southampton,3.0,1.0,H,78,78,78,77,76,75,77,76,2,0,0,59,-1,0.4473684210526316,0.0,0.0,0.0,,0,0,43,-21,0.3157894736842105,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,16,20,0.13157894736842107,,0.0
2021-08-14,Leicester,Wolves,1.0,0.0,H,80,80,81,79,78,79,80,78,2,0,0,66,18,0.5263157894736842,0.0,0.0,0.0,,0,0,45,-16,0.3157894736842105,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,21,34,0.21052631578947367,,0.0
2021-08-14,Watford,Aston Villa,3.0,2.0,H,74,75,75,73,78,79,78,79,-4,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,55,9,0.4210526315789473,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-56,-10,-0.4210526315789473,,0.0
2021-08-14,Norwich,Liverpool,0.0,3.0,A,73,75,73,73,85,86,84,85,-12,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,69,26,0.5263157894736842,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-70,-27,-0.5263157894736842,,0.0
2021-08-15,Newcastle,West Ham,2.0,4.0,A,77,77,77,77,79,80,78,78,-2,0,0,45,-16,0.3157894736842105,0.0,0.0,0.0,,0,0,65,15,0.5,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-20,-31,-0.1842105263157895,,0.0
2021-08-15,Tottenham,Man City,1.0,0.0,H,81,83,80,79,85,84,87,86,-4,0,0,62,23,0.4736842105263157,0.0,0.0,0.0,,0,0,86,51,0.7105263157894737,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,-24,-28,-0.23684210526315796,,0.0
2021-08-21,Liverpool,Burnley,2.0,0.0,H,85,86,84,85,76,77,75,76,9,1,3,69,26,0.5263157894736842,3.0,0.0,3.0,1.0,1,0,39,-22,0.2631578947368421,1.0,2.0,-1.0,0.0,0,0,0,0,0,0,0,0,,,3,30,48,0.2631578947368421,1.0,4.0
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H,78,79,78,79,77,77,77,77,1,1,0,55,9,0.4210526315789473,2.0,3.0,-1.0,0.0,1,0,45,-16,0.3157894736842105,2.0,4.0,-2.0,0.0,0,0,0,0,0,0,0,0,,,0,10,25,0.10526315789473678,0.0,1.0
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D,76,76,76,75,74,74,75,74,2,1,0,44,-25,0.3157894736842105,0.0,3.0,-3.0,0.0,1,3,-1,-1,0.0,2.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,,,-3,45,-24,0.3157894736842105,-1.0,-5.0
2021-08-21,Leeds,Everton,2.0,2.0,D,76,77,78,75,78,78,78,77,-2,1,0,59,8,0.4736842105263157,1.0,5.0,-4.0,0.0,1,3,59,-1,0.4473684210526316,3.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,9,0.026315789473684126,-1.0,-6.0
2021-08-21,Man City,Norwich,5.0,0.0,H,85,84,87,86,73,75,73,73,12,1,0,86,51,0.7105263157894737,0.0,1.0,-1.0,0.0,1,0,-1,-1,0.0,0.0,3.0,-3.0,0.0,0,0,0,0,0,0,0,0,,,0,87,52,0.7105263157894737,0.0,2.0
2021-08-21,Brighton,Watford,2.0,0.0,H,76,77,75,76,74,75,75,73,2,1,3,41,-6,0.2368421052631578,2.0,1.0,1.0,1.0,1,3,-1,-1,0.0,3.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,0,42,-5,0.2368421052631578,0.0,0.0
2021-08-22,Southampton,Man United,1.0,1.0,D,76,75,77,76,83,85,83,81,-7,1,0,43,-21,0.3157894736842105,1.0,3.0,-2.0,0.0,1,3,74,29,0.5526315789473685,5.0,1.0,4.0,1.0,0,0,0,0,0,0,0,0,,,-3,-31,-50,-0.23684210526315796,-1.0,-6.0
2021-08-22,Wolves,Tottenham,0.0,1.0,A,78,79,80,78,81,83,80,79,-3,1,0,45,-16,0.3157894736842105,0.0,1.0,-1.0,0.0,1,3,62,23,0.4736842105263157,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,,,-3,-17,-39,-0.1578947368421052,-1.0,-2.0
2021-08-22,Arsenal,Chelsea,0.0,2.0,A,80,82,80,77,84,83,86,83,-4,1,0,61,16,0.4736842105263157,0.0,2.0,-2.0,0.0,1,3,67,22,0.5,3.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,,,-3,-6,-6,-0.026315789473684292,-1.0,-5.0
2021-08-23,West Ham,Leicester,4.0,1.0,H,79,80,78,78,80,80,81,79,-1,1,3,65,15,0.5,4.0,2.0,2.0,1.0,1,3,66,18,0.5263157894736842,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,,,0,-1,-3,-0.02631578947368418,0.0,1.0
2021-08-28,Man City,Arsenal,5.0,0.0,H,85,84,87,86,80,82,80,77,5,2,3,86,51,0.7105263157894737,5.0,1.0,4.0,0.5,2,0,61,16,0.4736842105263157,0.0,4.0,-4.0,0.0,0,0,0,0,0,0,0,0,,,3,25,35,0.23684210526315796,0.5,8.0
2021-08-28,Aston Villa,Brentford,1.0,1.0,D,78,79,78,79,74,74,75,74,4,2,3,55,9,0.4210526315789473,4.0,3.0,1.0,0.5,2,4,-1,-1,0.0,2.0,0.0,2.0,0.5,0,0,0,0,0,0,0,0,,,-1,56,10,0.4210526315789473,0.0,-1.0
2021-08-28,Brighton,Everton,0.0,2.0,A,76,77,75,76,78,78,78,77,-2,2,6,41,-6,0.2368421052631578,4.0,1.0,3.0,1.0,2,4,59,-1,0.4473684210526316,5.0,3.0,2.0,0.5,0,0,0,0,0,0,0,0,,,2,-18,-5,-0.21052631578947378,0.5,1.0
2021-08-28,Newcastle,Southampton,2.0,2.0,D,77,77,77,77,76,75,77,76,1,2,0,45,-16,0.3157894736842105,2.0,6.0,-4.0,0.0,2,1,43,-21,0.3157894736842105,2.0,4.0,-2.0,0.0,0,0,0,0,0,0,0,0,,,-1,2,5,0.0,0.0,-2.0
2021-08-28,Norwich,Leicester,1.0,2.0,A,73,75,73,73,80,80,81,79,-7,2,0,-1,-1,0.0,0.0,8.0,-8.0,0.0,2,3,66,18,0.5263157894736842,2.0,4.0,-2.0,0.5,0,0,0,0,0,0,0,0,,,-3,-67,-19,-0.5263157894736842,-0.5,-6.0
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D,79,80,78,78,76,76,76,75,3,2,6,65,15,0.5,8.0,3.0,5.0,1.0,2,1,44,-25,0.3157894736842105,0.0,3.0,-3.0,0.0,0,0,0,0,0,0,0,0,,,5,21,40,0.1842105263157895,1.0,8.0
2021-08-28,Liverpool,Chelsea,1.0,1.0,D,85,86,84,85,84,83,86,83,1,2,6,69,26,0.5263157894736842,5.0,0.0,5.0,1.0,2,6,67,22,0.5,5.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,,,0,2,4,0.02631578947368418,0.0,0.0
2021-08-29,Burnley,Leeds,1.0,1.0,D,76,77,75,76,76,77,78,75,0,2,0,39,-22,0.2631578947368421,1.0,4.0,-3.0,0.0,2,1,59,8,0.4736842105263157,3.0,7.0,-4.0,0.0,0,0,0,0,0,0,0,0,,,-1,-20,-30,-0.21052631578947362,0.0,1.0
2021-08-29,Tottenham,Watford,1.0,0.0,H,81,83,80,79,74,75,75,73,7,2,6,62,23,0.4736842105263157,2.0,0.0,2.0,1.0,2,3,-1,-1,0.0,3.0,4.0,-1.0,0.5,0,0,0,0,0,0,0,0,,,3,63,24,0.4736842105263157,0.5,3.0
2021-08-29,Wolves,Man United,0.0,1.0,A,78,79,80,78,83,85,83,81,-5,2,0,45,-16,0.3157894736842105,0.0,2.0,-2.0,0.0,2,4,74,29,0.5526315789473685,6.0,2.0,4.0,0.5,0,0,0,0,0,0,0,0,,,-4,-29,-45,-0.23684210526315796,-0.5,-6.0
2021-09-11,Crystal Palace,Tottenham,3.0,0.0,H,76,76,76,75,81,83,80,79,-5,3,2,44,-25,0.3157894736842105,2.0,5.0,-3.0,0.0,3,9,62,23,0.4736842105263157,3.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,,,-7,-18,-48,-0.1578947368421052,-1.0,-6.0
2021-09-11,Arsenal,Norwich,1.0,0.0,H,80,82,80,77,73,75,73,73,7,3,0,61,16,0.4736842105263157,0.0,9.0,-9.0,0.0,3,0,-1,-1,0.0,1.0,10.0,-9.0,0.0,0,0,0,0,0,0,0,0,,,0,62,17,0.4736842105263157,0.0,0.0
2021-09-11,Brentford,Brighton,0.0,1.0,A,74,74,75,74,76,77,75,76,-2,3,5,-1,-1,0.0,3.0,1.0,2.0,0.3333333333333333,3,6,41,-6,0.2368421052631578,4.0,3.0,1.0,0.6666666666666666,0,0,0,0,0,0,0,0,,,-1,-42,5,-0.2368421052631578,-0.3333333333333333,1.0
2021-09-11,Leicester,Man City,0.0,1.0,A,80,80,81,79,85,84,87,86,-5,3,6,66,18,0.5263157894736842,4.0,5.0,-1.0,0.6666666666666666,3,6,86,51,0.7105263157894737,10.0,1.0,9.0,0.6666666666666666,0,0,0,0,0,0,0,0,,,0,-20,-33,-0.1842105263157895,0.0,-10.0
2021-09-11,Man United,Newcastle,4.0,1.0,H,83,85,83,81,77,77,77,77,6,3,7,74,29,0.5526315789473685,7.0,2.0,5.0,0.6666666666666666,3,1,45,-16,0.3157894736842105,4.0,8.0,-4.0,0.0,0,0,0,0,0,0,0,0,,,6,29,45,0.23684210526315796,0.6666666666666666,9.0
2021-09-11,Southampton,West Ham,0.0,0.0,D,76,75,77,76,79,80,78,78,-3,3,2,43,-21,0.3157894736842105,4.0,6.0,-2.0,0.0,3,7,65,15,0.5,10.0,5.0,5.0,0.6666666666666666,0,0,0,0,0,0,0,0,,,-5,-22,-36,-0.1842105263157895,-0.6666666666666666,-7.0
2021-09-11,Watford,Wolves,0.0,2.0,A,74,75,75,73,78,79,80,78,-4,3,3,-1,-1,0.0,3.0,5.0,-2.0,0.3333333333333333,3,0,45,-16,0.3157894736842105,0.0,3.0,-3.0,0.0,0,0,0,0,0,0,0,0,,,3,-46,15,-0.3157894736842105,0.3333333333333333,1.0
2021-09-11,Chelsea,Aston Villa,3.0,0.0,H,84,83,86,83,78,79,78,79,6,3,7,67,22,0.5,6.0,1.0,5.0,0.6666666666666666,3,4,55,9,0.4210526315789473,5.0,4.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,3,12,13,0.07894736842105271,0.3333333333333333,4.0
2021-09-12,Leeds,Liverpool,0.0,3.0,A,76,77,78,75,85,86,84,85,-9,3,2,59,8,0.4736842105263157,4.0,8.0,-4.0,0.0,3,7,69,26,0.5263157894736842,6.0,1.0,5.0,0.6666666666666666,0,0,0,0,0,0,0,0,,,-5,-10,-18,-0.052631578947368474,-0.6666666666666666,-9.0
2021-09-13,Everton,Burnley,3.0,1.0,H,78,78,78,77,76,77,75,76,2,3,7,59,-1,0.4473684210526316,7.0,3.0,4.0,0.6666666666666666,3,1,39,-22,0.2631578947368421,2.0,5.0,-3.0,0.0,0,0,0,0,0,0,0,0,,,6,20,21,0.1842105263157895,0.6666666666666666,7.0
2021-09-17,Newcastle,Leeds,1.0,1.0,D,77,77,77,77,76,77,78,75,1,4,1,45,-16,0.3157894736842105,5.0,12.0,-7.0,0.0,4,2,59,8,0.4736842105263157,4.0,11.0,-7.0,0.0,0,0,0,0,0,0,0,0,,,-1,-14,-24,-0.1578947368421052,0.0,0.0
2021-09-18,Wolves,Brentford,0.0,2.0,A,78,79,80,78,74,74,75,74,4,4,3,45,-16,0.3157894736842105,2.0,3.0,-1.0,0.25,4,5,-1,-1,0.0,3.0,2.0,1.0,0.25,0,0,0,0,0,0,0,0,,,-2,46,-15,0.3157894736842105,0.0,-2.0
2021-09-18,Burnley,Arsenal,0.0,1.0,A,76,77,75,76,80,82,80,77,-4,4,1,39,-22,0.2631578947368421,3.0,8.0,-5.0,0.0,4,3,61,16,0.4736842105263157,1.0,9.0,-8.0,0.25,0,0,0,0,0,0,0,0,,,-2,-22,-38,-0.21052631578947362,-0.25,3.0
2021-09-18,Liverpool,Crystal Palace,3.0,0.0,H,85,86,84,85,76,76,76,75,9,4,10,69,26,0.5263157894736842,9.0,1.0,8.0,0.75,4,5,44,-25,0.3157894736842105,5.0,5.0,0.0,0.25,0,0,0,0,0,0,0,0,,,5,25,51,0.21052631578947367,0.5,8.0
2021-09-18,Man City,Southampton,0.0,0.0,D,85,84,87,86,76,75,77,76,9,4,9,86,51,0.7105263157894737,11.0,1.0,10.0,0.75,4,3,43,-21,0.3157894736842105,4.0,6.0,-2.0,0.0,1,0,0,0,0,0,0,0,,,6,43,72,0.39473684210526316,0.75,12.0
2021-09-18,Norwich,Watford,1.0,3.0,A,73,75,73,73,74,75,75,73,-1,4,0,-1,-1,0.0,1.0,11.0,-10.0,0.0,4,3,-1,-1,0.0,3.0,7.0,-4.0,0.25,0,0,1,0,0,0,1,0,,,-3,0,0,0.0,-0.25,-6.0
2021-09-18,Aston Villa,Everton,3.0,0.0,H,78,79,78,79,78,78,78,77,0,4,4,55,9,0.4210526315789473,5.0,7.0,-2.0,0.25,4,10,59,-1,0.4473684210526316,10.0,4.0,6.0,0.75,0,0,0,0,0,0,0,0,,,-6,-4,10,-0.026315789473684292,-0.5,-8.0
2021-09-19,Brighton,Leicester,2.0,1.0,H,76,77,75,76,80,80,81,79,-4,4,9,41,-6,0.2368421052631578,5.0,3.0,2.0,0.75,4,6,66,18,0.5263157894736842,4.0,6.0,-2.0,0.5,0,0,0,0,0,0,0,0,,,3,-25,-24,-0.2894736842105264,0.25,4.0
2021-09-19,West Ham,Man United,1.0,2.0,A,79,80,78,78,83,85,83,81,-4,4,8,65,15,0.5,10.0,5.0,5.0,0.5,4,10,74,29,0.5526315789473685,11.0,3.0,8.0,0.75,0,0,0,0,0,0,0,0,,,-2,-9,-14,-0.052631578947368474,-0.25,-3.0
2021-09-19,Tottenham,Chelsea,0.0,3.0,A,81,83,80,79,84,83,86,83,-3,4,9,62,23,0.4736842105263157,3.0,3.0,0.0,0.75,4,10,67,22,0.5,9.0,1.0,8.0,0.75,0,0,0,0,0,0,0,0,,,-1,-5,1,-0.026315789473684292,0.0,-8.0
2021-09-25,Chelsea,Man City,0.0,1.0,A,84,83,86,83,85,84,87,86,-1,5,13,67,22,0.5,12.0,1.0,11.0,0.8,5,10,86,51,0.7105263157894737,11.0,1.0,10.0,0.6,0,0,0,0,0,0,0,0,0.8,0.6,3,-19,-29,-0.21052631578947367,0.20000000000000007,1.0
2021-09-25,Man United,Aston Villa,0.0,1.0,A,83,85,83,81,78,79,78,79,5,5,13,74,29,0.5526315789473685,13.0,4.0,9.0,0.8,5,7,55,9,0.4210526315789473,8.0,7.0,1.0,0.4,1,0,0,0,0,0,0,0,0.8,0.4,6,19,20,0.13157894736842118,0.4,8.0
2021-09-25,Everton,Norwich,2.0,0.0,H,78,78,78,77,73,75,73,73,5,5,10,59,-1,0.4473684210526316,10.0,7.0,3.0,0.6,5,0,-1,-1,0.0,2.0,14.0,-12.0,0.0,0,0,0,0,0,0,1,1,0.6,0.0,10,60,0,0.4473684210526316,0.6,15.0
2021-09-25,Leeds,West Ham,1.0,2.0,A,76,77,78,75,79,80,78,78,-3,5,3,59,8,0.4736842105263157,5.0,12.0,-7.0,0.0,5,8,65,15,0.5,11.0,7.0,4.0,0.4,0,0,0,0,0,0,0,0,0.0,0.4,-5,-6,-7,-0.026315789473684292,-0.4,-11.0
2021-09-25,Leicester,Burnley,2.0,2.0,D,80,80,81,79,76,77,75,76,4,5,6,66,18,0.5263157894736842,5.0,8.0,-3.0,0.4,5,1,39,-22,0.2631578947368421,3.0,9.0,-6.0,0.0,0,0,0,0,0,0,0,0,0.4,0.0,5,27,40,0.2631578947368421,0.4,3.0
2021-09-25,Watford,Newcastle,1.0,1.0,D,74,75,75,73,77,77,77,77,-3,5,6,-1,-1,0.0,6.0,8.0,-2.0,0.4,5,2,45,-16,0.3157894736842105,6.0,13.0,-7.0,0.0,0,0,0,0,0,0,0,0,0.4,0.0,4,-46,15,-0.3157894736842105,0.4,5.0
2021-09-25,Brentford,Liverpool,3.0,3.0,D,74,74,75,74,85,86,84,85,-11,5,8,-1,-1,0.0,5.0,2.0,3.0,0.4,5,13,69,26,0.5263157894736842,12.0,1.0,11.0,0.8,0,0,0,0,0,0,0,0,0.4,0.8,-5,-70,-27,-0.5263157894736842,-0.4,-8.0
2021-09-26,Southampton,Wolves,0.0,1.0,A,76,75,77,76,78,79,80,78,-2,5,4,43,-21,0.3157894736842105,4.0,6.0,-2.0,0.0,5,3,45,-16,0.3157894736842105,2.0,5.0,-3.0,0.2,0,0,0,0,0,0,0,0,0.0,0.2,1,-2,-5,0.0,-0.2,1.0
2021-09-26,Arsenal,Tottenham,3.0,1.0,H,80,82,80,77,81,83,80,79,-1,5,6,61,16,0.4736842105263157,2.0,9.0,-7.0,0.4,5,9,62,23,0.4736842105263157,3.0,6.0,-3.0,0.6,0,0,0,0,0,0,0,0,0.4,0.6,-3,-1,-7,0.0,-0.19999999999999996,-4.0
2021-09-27,Crystal Palace,Brighton,1.0,1.0,D,76,76,76,75,76,77,75,76,0,5,5,44,-25,0.3157894736842105,5.0,8.0,-3.0,0.2,5,12,41,-6,0.2368421052631578,7.0,4.0,3.0,0.8,0,0,0,0,0,0,0,0,0.2,0.8,-7,3,-19,0.07894736842105271,-0.6000000000000001,-6.0
2021-10-02,Man United,Everton,1.0,1.0,D,83,85,83,81,78,78,78,77,5,6,13,74,29,0.5526315789473685,13.0,5.0,8.0,0.6666666666666666,6,13,59,-1,0.4473684210526316,12.0,7.0,5.0,0.6666666666666666,0,0,0,0,0,0,0,0,0.6,0.6,0,15,30,0.10526315789473689,0.0,3.0
2021-10-02,Burnley,Norwich,0.0,0.0,D,76,77,75,76,73,75,73,73,3,6,2,39,-22,0.2631578947368421,5.0,11.0,-6.0,0.0,6,0,-1,-1,0.0,2.0,16.0,-14.0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,2,40,-21,0.2631578947368421,0.0,8.0
2021-10-02,Chelsea,Southampton,3.0,1.0,H,84,83,86,83,76,75,77,76,8,6,13,67,22,0.5,12.0,2.0,10.0,0.6666666666666666,6,4,43,-21,0.3157894736842105,4.0,7.0,-3.0,0.0,0,0,0,0,0,0,0,0,0.6,0.0,9,24,43,0.1842105263157895,0.6666666666666666,13.0
2021-10-02,Leeds,Watford,1.0,0.0,H,76,77,78,75,74,75,75,73,2,6,3,59,8,0.4736842105263157,6.0,14.0,-8.0,0.0,6,7,-1,-1,0.0,7.0,9.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,0.2,-4,60,9,0.4736842105263157,-0.3333333333333333,-6.0
2021-10-02,Wolves,Newcastle,2.0,1.0,H,78,79,80,78,77,77,77,77,1,6,6,45,-16,0.3157894736842105,3.0,5.0,-2.0,0.3333333333333333,6,3,45,-16,0.3157894736842105,7.0,14.0,-7.0,0.0,0,0,0,0,0,0,0,0,0.4,0.0,3,0,0,0.0,0.3333333333333333,5.0
2021-10-02,Brighton,Arsenal,0.0,0.0,D,76,77,75,76,80,82,80,77,-4,6,13,41,-6,0.2368421052631578,8.0,5.0,3.0,0.6666666666666666,6,9,61,16,0.4736842105263157,5.0,10.0,-5.0,0.5,0,0,0,0,1,0,0,0,0.6,0.6,4,-20,-22,-0.2368421052631579,0.16666666666666663,8.0
2021-10-03,Crystal Palace,Leicester,2.0,2.0,D,76,76,76,75,80,80,81,79,-4,6,6,44,-25,0.3157894736842105,6.0,9.0,-3.0,0.16666666666666666,6,7,66,18,0.5263157894736842,7.0,10.0,-3.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.2,0.2,-1,-22,-43,-0.21052631578947367,-0.16666666666666666,0.0
2021-10-03,Tottenham,Aston Villa,2.0,1.0,H,81,83,80,79,78,79,78,79,3,6,9,62,23,0.4736842105263157,4.0,9.0,-5.0,0.5,6,10,55,9,0.4210526315789473,9.0,7.0,2.0,0.5,0,0,1,0,0,0,0,0,0.4,0.6,-1,7,14,0.05263157894736842,0.0,-7.0
2021-10-03,West Ham,Brentford,1.0,2.0,A,79,80,78,78,74,74,75,74,5,6,11,65,15,0.5,13.0,8.0,5.0,0.5,6,9,-1,-1,0.0,8.0,5.0,3.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.4,0.2,2,66,16,0.5,0.16666666666666669,2.0
2021-10-03,Liverpool,Man City,2.0,2.0,D,85,86,84,85,85,84,87,86,0,6,14,69,26,0.5263157894736842,15.0,4.0,11.0,0.6666666666666666,6,13,86,51,0.7105263157894737,12.0,1.0,11.0,0.6666666666666666,0,0,0,0,0,0,0,0,0.6,0.8,1,-17,-25,-0.1842105263157895,0.0,0.0
2021-10-16,Watford,Liverpool,0.0,5.0,A,74,75,75,73,85,86,84,85,-11,7,7,-1,-1,0.0,7.0,10.0,-3.0,0.2857142857142857,7,15,69,26,0.5263157894736842,17.0,6.0,11.0,0.5714285714285714,0,0,0,0,0,0,0,0,0.2,0.4,-8,-70,-27,-0.5263157894736842,-0.2857142857142857,-14.0
2021-10-16,Aston Villa,Wolves,2.0,3.0,A,78,79,78,79,78,79,80,78,0,7,10,55,9,0.4210526315789473,10.0,9.0,1.0,0.42857142857142855,7,9,45,-16,0.3157894736842105,5.0,6.0,-1.0,0.42857142857142855,0,0,0,0,0,0,0,0,0.4,0.6,1,10,25,0.10526315789473678,0.0,2.0
2021-10-16,Leicester,Man United,4.0,2.0,H,80,80,81,79,83,85,83,81,-3,7,8,66,18,0.5263157894736842,9.0,12.0,-3.0,0.2857142857142857,7,14,74,29,0.5526315789473685,14.0,6.0,8.0,0.5714285714285714,0,0,0,0,0,0,0,0,0.2,0.6,-6,-8,-11,-0.026315789473684292,-0.2857142857142857,-11.0
2021-10-16,Man City,Burnley,2.0,0.0,H,85,84,87,86,76,77,75,76,9,7,14,86,51,0.7105263157894737,14.0,3.0,11.0,0.5714285714285714,7,3,39,-22,0.2631578947368421,5.0,11.0,-6.0,0.0,0,0,0,0,0,0,0,0,0.6,0.0,11,47,73,0.4473684210526316,0.5714285714285714,17.0
2021-10-16,Norwich,Brighton,0.0,0.0,D,73,75,73,73,76,77,75,76,-3,7,1,-1,-1,0.0,2.0,16.0,-14.0,0.0,7,14,41,-6,0.2368421052631578,8.0,5.0,3.0,0.5714285714285714,0,0,0,0,0,0,0,0,0.0,0.4,-13,-42,5,-0.2368421052631578,-0.5714285714285714,-17.0
2021-10-16,Southampton,Leeds,1.0,0.0,H,76,75,77,76,76,77,78,75,0,7,4,43,-21,0.3157894736842105,5.0,10.0,-5.0,0.0,7,6,59,8,0.4736842105263157,7.0,14.0,-7.0,0.14285714285714285,0,0,0,0,0,0,0,0,0.0,0.2,-2,-16,-29,-0.1578947368421052,-0.14285714285714285,2.0
2021-10-16,Brentford,Chelsea,0.0,1.0,A,74,74,75,74,84,83,86,83,-10,7,12,-1,-1,0.0,10.0,6.0,4.0,0.42857142857142855,7,16,67,22,0.5,15.0,3.0,12.0,0.7142857142857143,0,0,0,0,0,0,0,0,0.4,0.6,-4,-68,-23,-0.5,-0.28571428571428575,-8.0
2021-10-17,Everton,West Ham,0.0,1.0,A,78,78,78,77,79,80,78,78,-1,7,14,59,-1,0.4473684210526316,13.0,8.0,5.0,0.5714285714285714,7,11,65,15,0.5,14.0,10.0,4.0,0.42857142857142855,0,0,0,0,0,0,0,0,0.6,0.2,3,-6,-16,-0.05263157894736842,0.14285714285714285,1.0
2021-10-17,Newcastle,Tottenham,2.0,3.0,A,77,77,77,77,81,83,80,79,-4,7,3,45,-16,0.3157894736842105,8.0,16.0,-8.0,0.0,7,12,62,23,0.4736842105263157,6.0,10.0,-4.0,0.5714285714285714,0,0,0,0,0,0,0,0,0.0,0.4,-9,-17,-39,-0.1578947368421052,-0.5714285714285714,-4.0
2021-10-18,Arsenal,Crystal Palace,2.0,2.0,D,80,82,80,77,76,76,76,75,4,7,10,61,16,0.4736842105263157,5.0,10.0,-5.0,0.42857142857142855,7,7,44,-25,0.3157894736842105,8.0,11.0,-3.0,0.14285714285714285,0,0,0,0,0,0,0,0,0.6,0.2,3,17,41,0.1578947368421052,0.2857142857142857,-2.0
2021-10-22,Arsenal,Aston Villa,3.0,1.0,H,80,82,80,77,78,79,78,79,2,8,11,61,16,0.4736842105263157,7.0,12.0,-5.0,0.375,8,10,55,9,0.4210526315789473,12.0,12.0,0.0,0.375,0,0,0,0,0,0,0,0,0.6,0.4,1,6,7,0.05263157894736842,0.0,-5.0
2021-10-23,Chelsea,Norwich,7.0,0.0,H,84,83,86,83,73,75,73,73,11,8,19,67,22,0.5,16.0,3.0,13.0,0.75,8,2,-1,-1,0.0,2.0,16.0,-14.0,0.0,0,0,0,0,0,0,0,0,0.8,0.0,17,68,23,0.5,0.75,27.0
2021-10-23,Crystal Palace,Newcastle,1.0,1.0,D,76,76,76,75,77,77,77,77,-1,8,8,44,-25,0.3157894736842105,10.0,13.0,-3.0,0.125,8,3,45,-16,0.3157894736842105,10.0,19.0,-9.0,0.0,0,0,0,0,0,0,0,0,0.2,0.0,5,-1,-9,0.0,0.125,6.0
